2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
112.93, 67.00, 222.54, -1.00, -1.00
112.81, 67.00, 223.43, -1.00, -1.00
112.67, 67.00, 224.32, -1.00, -1.00
112.48, 67.00, 225.21, -1.00, -1.00
112.21, 67.00, 226.07, -1.00, -1.00
111.81, 67.00, 226.87, -1.00, -1.00
111.25, 67.00, 227.57, -1.00, -1.00
110.67, 67.00, 228.26, -1.00, -1.00
110.21, 67.00, 229.03, -1.00, -1.00
109.78, 67.00, 229.82, -1.00, -1.00
109.15, 67.00, 230.46, -1.00, -1.00
108.32, 67.00, 230.83, -1.00, -1.00
107.48, 67.00, 231.16, -1.00, -1.00
106.78, 67.00, 231.72, -1.00, -1.00
106.35, 67.00, 232.51, -1.00, -1.00
106.13, 67.00, 233.38, -1.00, -1.00
106.03, 67.01, 234.28, -1.00, -1.00
106.00, 67.05, 235.18, -1.00, -1.00
106.00, 67.14, 236.08, -1.00, -1.00
106.00, 67.30, 236.97, -1.00, -1.00
106.00, 67.49, 237.84, -1.00, -1.00
106.00, 67.68, 238.73, -1.00, -1.00
105.97, 67.81, 239.61, -1.00, -1.00
105.86, 67.92, 240.50, -1.00, -1.00
105.57, 67.98, 241.36, -1.00, -1.00
105.07, 68.00, 242.10, -1.00, -1.00
104.46, 68.00, 242.76, -1.00, -1.00
103.83, 68.00, 243.40, -1.00, -1.00
103.33, 68.00, 244.15, -1.00, -1.00
103.09, 68.00, 245.02, -1.00, -1.00
103.00, 68.00, 245.93, -1.00, -1.00
102.95, 68.00, 246.84, -1.00, -1.00
102.88, 68.00, 247.74, -1.00, -1.00
102.75, 68.00, 248.63, -1.00, -1.00
102.50, 68.00, 249.49, -1.00, -1.00
102.09, 68.00, 250.29, -1.00, -1.00
101.49, 68.03, 250.96, -1.00, -1.00
100.74, 68.11, 251.45, -1.00, -1.00
99.91, 68.26, 251.78, -1.00, -1.00
99.06, 68.46, 252.01, -1.00, -1.00
98.22, 68.69, 252.21, -1.00, -1.00
97.39, 68.89, 252.50, -1.00, -1.00
96.62, 68.98, 252.96, -1.00, -1.00
95.99, 69.00, 253.60, -1.00, -1.00
95.55, 69.00, 254.38, -1.00, -1.00
95.25, 69.00, 255.23, -1.00, -1.00
95.05, 69.00, 256.10, -1.00, -1.00
94.88, 69.00, 256.99, -1.00, -1.00
94.70, 69.00, 257.87, -1.00, -1.00
94.41, 69.00, 258.72, -1.00, -1.00
93.96, 69.00, 259.50, -1.00, -1.00
93.43, 69.00, 260.22, -1.00, -1.00
92.87, 69.00, 260.93, -1.00, -1.00
92.41, 69.03, 261.70, -1.00, -1.00
92.13, 69.09, 262.55, -1.00, -1.00
92.02, 69.22, 263.44, -1.00, -1.00
92.00, 69.49, 264.30, -1.00, -1.00
92.00, 69.96, 265.06, -1.00, -1.00
92.00, 70.56, 265.73, -1.00, -1.00
92.00, 71.13, 266.43, -1.00, -1.00
92.00, 71.66, 267.16, -1.00, -1.00
92.00, 72.33, 267.75, -1.00, -1.00
91.98, 73.16, 268.10, -1.00, -1.00
91.83, 74.02, 268.35, -1.00, -1.00
91.35, 74.67, 268.72, -1.00, -1.00
90.70, 74.91, 269.30, -1.00, -1.00
90.22, 74.98, 270.05, -1.00, -1.00
89.89, 75.03, 270.89, -1.00, -1.00
89.60, 75.15, 271.74, -1.00, -1.00
89.30, 75.36, 272.55, -1.00, -1.00
